startup_name,sector,city,investors,funding_stage,amount_usd,year
Byju’S,EdTech,Bangalore,Tiger Global Management,Private Equity,200000000.0,2020
Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0,2020
Mamaearth,E-Commerce,Bangalore,Sequoia Capital India,Series B,18358860.0,2020
Https://Www.Wealthbucket.In/,Fintech,Delhi,Vinod Khatumal,Pre-Series A,3000000.0,2020
Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed,1800000.0,2020
Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000.0,2020
Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity,150000000.0,2020
Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019
Cardekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,2019
Dhruva Space,Aerospace,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019
Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series E+,20000000.0,2019
Healthians,Other,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,2019
Licious,E-Commerce,Bangalore,Vertex Growth Fund,Series E+,30000000.0,2019
Incred,Fintech,Mumbai,,Debt Funding,5900000.0,2019
Trell,Other,Bangalore,Ruizheng Investment,Seed,2000000.0,2019
Rein Games,Other,Delhi NCR,Manipal Education and Medical Group (MEMG),Seed,50000000.0,2019
Lenskart.Com,E-Commerce,Delhi NCR,SoftBank Vision Fund,Series E+,231000000.0,2019
Freshworks,Other,Other City,"Sequoia, CapitalG, Accel",Series E+,150000000.0,2019
Misters,Other,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0,2019
Sunstone Eduversity Pvt. Ltd,EdTech,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019
Burger Singh,FoodTech,Gurgaon,RB Investments,Venture,,2019
Ninjacart,Other,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000.0,2019
Aye Finance,Fintech,Gurgaon,FinTech,Debt Funding,17411265.0,2019
Supergaming,Other,Pune,Dream Incubator,Seed,1300000.0,2019
Clumio,SaaS,Other City,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,2019
Ebikego,Other,Other City,Startup Buddy,Seed,300000.0,2019
Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed,220000000.0,2019
Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,2019
Vogo Automotive,Other,Other City,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2019
Furtados School Of Music,EdTech,Other City,IAN Fund and DSG Consumer Partners,Unknown,200000000.0,2019
Paytm,Fintech,Delhi NCR,Vijay Shekhar Sharma,Other,1000000000.0,2019
Dunzo,Other,Bangalore,Lightbox,Series D,45000000.0,2019
Udaan,Other,Bangalore,"Altimeter Capital, DST Global",Series D,585000000.0,2019
The Man Company,Other,Gurgaon,Ayushmann Khurana,Other,,2019
Fpl Technologies,Fintech,Pune,"Matrix Partners India, Sequoia India",Other,4500000.0,2019
Cashflo,Fintech,Mumbai,SAIF Partners,Series A,3300000.0,2019
Digital F5,Other,Mumbai,TIW Private Equity,Private Equity,6000000.0,2019
3Rdflix,SaaS,Hyderabad,Exfinity Venture Partners,Pre-Series A,5000000.0,2019
75F,Other,Other City,Breakthrough Energy Ventures,Series A,18000000.0,2019
Myelin Foundry,Other,Bangalore,Endiya Partners,Seed,1000000.0,2019
Atomberg Technology,Other,Mumbai,A91 Partners,Series A,10000000.0,2019
Goqii,Other,Other City,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019
Vyapar App,Other,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000.0,2019
Cardekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019
Progcap,Fintech,Delhi,Sequoia India,Series A,5000000.0,2019
Mypetrolpump,Retail,Bangalore,,Seed,1600000.0,2019
Alteria Capital,Fintech,Mumbai,"Azim Premji, Binny Bansal",Venture,140000000.0,2019
Pine Labs,Other,Delhi NCR,Pine Labs Pte Ltd,Other,38080000.0,2019
Meesho,E-Commerce,Bangalore,Naspers,Series D,125000000.0,2019
Cars24,E-Commerce,Gurgaon,MS Dhoni,Series D,11000000.0,2019
Uniphore,Other,Other City,March Capital Partners,Series C,51000000.0,2019
Zendrive,Other,Other City,XL Innovate,Series B,37000000.0,2019
Lo! Foods,Other,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed,500000.0,2019
Tala,Fintech,Other City,RPS Ventures,Series D,110000000.0,2019
Indwealth,Fintech,Gurgaon,Tiger Global Management,Venture,15000000.0,2019
Hungerbox,FoodTech,Bangalore,One97 Communications Ltd.,Series C,6590000.0,2019
Admitkard,EdTech,Delhi NCR,Growth DNA,Seed,1000000.0,2019
Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,,2019
Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series E+,70000000.0,2019
Rapido Bike Taxi,Transportation,Bangalore,Westbridge Capital,Series B,3900000000.0,2019
Renewbuy,Fintech,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019
Atlan,Other,Other City,WaterBridge Ventures,Pre-Series A,2500000.0,2019
Wizcounsel,Other,Delhi,Kapil Dev,Seed,145000.0,2019
Ola Cabs,Other,Other City,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series E+,1000000.0,2019
Uniphore,Other,Other City,March Capital Partners,Series C,38080000.0,2019
Daalchini Technologies,FoodTech,Delhi,Artha Venture,Seed,500000.0,2019
"""Byju\\'S""",EdTech,Bangalore,Qatar Investment Authority,Private Equity,150000000.0,2019
Moglix,E-Commerce,Other City,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019
Ezyhaul,Other,Other City,Undisclosed,Series B,16000000.0,2019
Indus Os,Other,Other City,Ventureast,Series B,5750000.0,2019
